environment	project_name	requires_python	classification	expected_prefix	expected_prefix_exists	broken_symlink_count	broken_symlinks	best_candidate_runtime	best_candidate_score	best_candidate_compatibility	best_candidate_dependency_coverage	best_candidate_python_compatible	best_candidate_missing_dependencies	best_candidate_version_incompatible
environments/autogluon-timeseries	loto-autogluon-timeseries-provider	>=3.11,<3.13	BROKEN_DECLARED_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/autogluon-timeseries/.venv	True	2	"[{""raw_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/autogluon-timeseries/.venv/bin/python"", ""symlink_target"": ""/home/tajim/.local/share/uv/python/cpython-3.12-linux-x86_64-gnu/bin/python3.12""}, {""raw_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/autogluon-timeseries/.venv/bin/python3"", ""symlink_target"": ""python""}]"	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/flowstate	767	PARTIAL_DEPENDENCY_MATCH	0.6666666666666666	True	"[""autogluon-timeseries""]"	[]
environments/basicts-py310	loto-basicts-provider	>=3.10,<3.11	CANDIDATE_REQUIRES_SEPARATE_FORMAL_LANE	/mnt/e/env/ts/loto_forecast_platform/environments/basicts-py310/.venv	False	0	[]	/home/az/.cache/loto/timer-base-84m/venvs/5349b4ae2a1c16a0b27b4fe3cf7b77a3d8bd6d0a22329b8b66691c5e3e63efe0	600	PARTIAL_DEPENDENCY_MATCH	0.5	True	"[""basicts"", ""pandas""]"	[]
environments/basicts-py311	loto-basicts-provider	>=3.11,<3.12	CANDIDATE_REQUIRES_SEPARATE_FORMAL_LANE	/mnt/e/env/ts/loto_forecast_platform/environments/basicts-py311/.venv	False	0	[]	/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv	650	PARTIAL_DEPENDENCY_MATCH	0.75	True	"[""basicts""]"	"[""numpy==1.26.4 not in ==1.24.4"", ""torch==2.13.0 not in ==2.9.1""]"
environments/forecast-mcp	loto-forecast-mcp-runtime	>=3.11,<3.13	CANDIDATE_REQUIRES_SEPARATE_FORMAL_LANE	/mnt/e/env/ts/loto_forecast_platform/environments/forecast-mcp/.venv	False	0	[]	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/lag-llama	600	PARTIAL_DEPENDENCY_MATCH	0.5	True	"[""mcp""]"	[]
environments/granite-ttm	loto-granite-ttm-provider	>=3.11,<3.13	BROKEN_DECLARED_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/granite-ttm/.venv	True	2	"[{""raw_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/granite-ttm/.venv/bin/python"", ""symlink_target"": ""/home/tajim/.local/share/uv/python/cpython-3.12-linux-x86_64-gnu/bin/python3.12""}, {""raw_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/granite-ttm/.venv/bin/python3"", ""symlink_target"": ""python""}]"	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/flowstate	900	PARTIAL_DEPENDENCY_MATCH	1.0	True	[]	"[""torch==2.10.0 not in ==2.12.1"", ""transformers==4.57.6 not in <4.53,>=4.46""]"
environments/merlion-core-py311	loto-merlion-provider	>=3.11,<3.12	CANDIDATE_REQUIRES_SEPARATE_FORMAL_LANE	/mnt/e/env/ts/loto_forecast_platform/environments/merlion-core-py311/.venv	False	0	[]	/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv	850	PARTIAL_DEPENDENCY_MATCH	0.75	True	"[""salesforce-merlion""]"	[]
environments/sundial	loto-sundial-provider	>=3.11,<3.13	BROKEN_DECLARED_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/sundial/.venv	True	2	"[{""raw_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/sundial/.venv/bin/python"", ""symlink_target"": ""/home/tajim/.local/share/uv/python/cpython-3.12-linux-x86_64-gnu/bin/python3.12""}, {""raw_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/sundial/.venv/bin/python3"", ""symlink_target"": ""python""}]"	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/flowstate	1000	PARTIAL_DEPENDENCY_MATCH	1.0	True	[]	"[""transformers==4.57.6 not in ==4.40.1""]"
environments/tirex	loto-tirex-provider	>=3.11,<3.13	BROKEN_DECLARED_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/tirex/.venv	True	2	"[{""raw_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/tirex/.venv/bin/python"", ""symlink_target"": ""/home/tajim/.local/share/uv/python/cpython-3.12-linux-x86_64-gnu/bin/python3.12""}, {""raw_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/tirex/.venv/bin/python3"", ""symlink_target"": ""python""}]"	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/flowstate	933	PARTIAL_DEPENDENCY_MATCH	0.8333333333333334	True	"[""tirex-2""]"	[]
environments/tirex2-supported-py312	loto-tirex2-supported	>=3.12,<3.13	CANDIDATE_REQUIRES_SEPARATE_FORMAL_LANE	/mnt/e/env/ts/loto_forecast_platform/environments/tirex2-supported-py312/.venv	False	0	[]	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open	800	PARTIAL_DEPENDENCY_MATCH	0.8	True	"[""tirex-2""]"	"[""torch==2.13.0 not in ==2.9.1""]"
environments/tslib-core	loto-tslib-core-runtime	>=3.11,<3.14	CANDIDATE_REQUIRES_SEPARATE_FORMAL_LANE	/mnt/e/env/ts/loto_forecast_platform/environments/tslib-core/.venv	False	0	[]	/mnt/e/env/ts/loto_forecast_platform/.venv	675	PARTIAL_DEPENDENCY_MATCH	0.875	True	"[""pywavelets""]"	"[""einops==0.8.2 not in ==0.8.1"", ""numpy==2.4.6 not in ==2.1.2"", ""scipy==1.18.0 not in ==1.17.0""]"
