surface	model_id	implementation_id	algorithm_id	family	library	class_name	source_kind	execution_surface	canonical_v1_model_id	source_alias	source_version	source_revision	evidence_class	evidence_revision	artifact_id	artifact_revision	artifact_sha256	routability	runtime_status	runtime_certified	capabilities	notes
expanded_v2	uniform	uniform	uniformcandidateadapter	theory	builtin	UniformCandidateAdapter	broad_v1	broad_v1	uniform				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""ranking"", ""control""]"	exact theoretical uniform; mandatory control
expanded_v2	frequency	frequency	frequencycandidateadapter	frequency	builtin	FrequencyCandidateAdapter	broad_v1	broad_v1	frequency				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""ranking""]"	
expanded_v2	position-median	position-median	theorymedianadapter	theory	builtin	TheoryMedianAdapter	broad_v1	broad_v1	position-median				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""control""]"	exact MAE-floor predictor; mandatory control
expanded_v2	position-modal	position-modal	theorymodaladapter	theory	builtin	TheoryModalAdapter	broad_v1	broad_v1	position-modal				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""control""]"	exact within-tau ceiling predictor; mandatory control
expanded_v2	logistic	logistic	logisticregression	linear	sklearn	LogisticRegression	broad_v1	broad_v1	logistic				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""exogenous""]"	
expanded_v2	ridge	ridge	ridge	linear	sklearn	Ridge	broad_v1	broad_v1	ridge				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""exogenous""]"	
expanded_v2	elastic-net	elastic-net	elasticnet	linear	sklearn	ElasticNet	broad_v1	broad_v1	elastic-net				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""exogenous""]"	
expanded_v2	random-forest	random-forest	randomforestclassifier	tree	sklearn	RandomForestClassifier	broad_v1	broad_v1	random-forest				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""exogenous""]"	
expanded_v2	extra-trees	extra-trees	extratreesclassifier	tree	sklearn	ExtraTreesClassifier	broad_v1	broad_v1	extra-trees				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""exogenous""]"	
expanded_v2	hist-gradient-boosting	hist-gradient-boosting	histgradientboostingclassifier	tree	sklearn	HistGradientBoostingClassifier	broad_v1	broad_v1	hist-gradient-boosting				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""exogenous""]"	
expanded_v2	isotonic-calibrated-logistic	isotonic-calibrated-logistic	calibratedclassifiercv	calibrated	sklearn	CalibratedClassifierCV	broad_v1	broad_v1	isotonic-calibrated-logistic				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""calibration""]"	wraps logistic; makes the calibration layer measurable
expanded_v2	lightgbm-classifier	lightgbm-classifier	lgbmclassifier	tree	lightgbm	LGBMClassifier	broad_v1	broad_v1	lightgbm-classifier				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""exogenous""]"	
expanded_v2	lightgbm-position	lightgbm-position	lgbmregressor	tree	lightgbm	LGBMRegressor	broad_v1	broad_v1	lightgbm-position				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""exogenous""]"	
expanded_v2	xgboost-classifier	xgboost-classifier	xgbclassifier	tree	xgboost	XGBClassifier	broad_v1	broad_v1	xgboost-classifier				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""exogenous""]"	
expanded_v2	catboost-classifier	catboost-classifier	catboostclassifier	tree	catboost	CatBoostClassifier	broad_v1	broad_v1	catboost-classifier				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""probability"", ""exogenous""]"	
expanded_v2	sf-autoarima	sf-autoarima	autoarima	arima	statsforecast	AutoARIMA	broad_v1	broad_v1	sf-autoarima				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-autoets	sf-autoets	autoets	exponential_smoothing	statsforecast	AutoETS	broad_v1	broad_v1	sf-autoets				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-autoces	sf-autoces	autoces	exponential_smoothing	statsforecast	AutoCES	broad_v1	broad_v1	sf-autoces				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-autotheta	sf-autotheta	autotheta	theta	statsforecast	AutoTheta	broad_v1	broad_v1	sf-autotheta				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-automfles	sf-automfles	automfles	decomposition	statsforecast	AutoMFLES	broad_v1	broad_v1	sf-automfles				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-autotbats	sf-autotbats	autotbats	decomposition	statsforecast	AutoTBATS	broad_v1	broad_v1	sf-autotbats				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-arima	sf-arima	arima	arima	statsforecast	ARIMA	broad_v1	broad_v1	sf-arima				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-autoregressive	sf-autoregressive	autoregressive	arima	statsforecast	AutoRegressive	broad_v1	broad_v1	sf-autoregressive				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-simpleexponentialsmoothing	sf-simpleexponentialsmoothing	simpleexponentialsmoothing	exponential_smoothing	statsforecast	SimpleExponentialSmoothing	broad_v1	broad_v1	sf-simpleexponentialsmoothing				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-simpleexponentialsmoothingoptimized	sf-simpleexponentialsmoothingoptimized	simpleexponentialsmoothingoptimized	exponential_smoothing	statsforecast	SimpleExponentialSmoothingOptimized	broad_v1	broad_v1	sf-simpleexponentialsmoothingoptimized				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-seasonalexponentialsmoothing	sf-seasonalexponentialsmoothing	seasonalexponentialsmoothing	exponential_smoothing	statsforecast	SeasonalExponentialSmoothing	broad_v1	broad_v1	sf-seasonalexponentialsmoothing				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-seasonalexponentialsmoothingoptimized	sf-seasonalexponentialsmoothingoptimized	seasonalexponentialsmoothingoptimized	exponential_smoothing	statsforecast	SeasonalExponentialSmoothingOptimized	broad_v1	broad_v1	sf-seasonalexponentialsmoothingoptimized				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-holt	sf-holt	holt	exponential_smoothing	statsforecast	Holt	broad_v1	broad_v1	sf-holt				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-holtwinters	sf-holtwinters	holtwinters	exponential_smoothing	statsforecast	HoltWinters	broad_v1	broad_v1	sf-holtwinters				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-historicaverage	sf-historicaverage	historicaverage	baseline	statsforecast	HistoricAverage	broad_v1	broad_v1	sf-historicaverage				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	mandatory control
expanded_v2	sf-naive	sf-naive	naive	baseline	statsforecast	Naive	broad_v1	broad_v1	sf-naive				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	mandatory control
expanded_v2	sf-randomwalkwithdrift	sf-randomwalkwithdrift	randomwalkwithdrift	baseline	statsforecast	RandomWalkWithDrift	broad_v1	broad_v1	sf-randomwalkwithdrift				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-seasonalnaive	sf-seasonalnaive	seasonalnaive	baseline	statsforecast	SeasonalNaive	broad_v1	broad_v1	sf-seasonalnaive				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	mandatory control
expanded_v2	sf-conformalseasonalpool	sf-conformalseasonalpool	conformalseasonalpool	conformal	statsforecast	ConformalSeasonalPool	broad_v1	broad_v1	sf-conformalseasonalpool				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""probability""]"	
expanded_v2	sf-windowaverage	sf-windowaverage	windowaverage	baseline	statsforecast	WindowAverage	broad_v1	broad_v1	sf-windowaverage				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-seasonalwindowaverage	sf-seasonalwindowaverage	seasonalwindowaverage	baseline	statsforecast	SeasonalWindowAverage	broad_v1	broad_v1	sf-seasonalwindowaverage				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-adida	sf-adida	adida	intermittent	statsforecast	ADIDA	broad_v1	broad_v1	sf-adida				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-crostonclassic	sf-crostonclassic	crostonclassic	intermittent	statsforecast	CrostonClassic	broad_v1	broad_v1	sf-crostonclassic				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-crostonoptimized	sf-crostonoptimized	crostonoptimized	intermittent	statsforecast	CrostonOptimized	broad_v1	broad_v1	sf-crostonoptimized				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-crostonsba	sf-crostonsba	crostonsba	intermittent	statsforecast	CrostonSBA	broad_v1	broad_v1	sf-crostonsba				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-imapa	sf-imapa	imapa	intermittent	statsforecast	IMAPA	broad_v1	broad_v1	sf-imapa				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-tsb	sf-tsb	tsb	intermittent	statsforecast	TSB	broad_v1	broad_v1	sf-tsb				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-mstl	sf-mstl	mstl	decomposition	statsforecast	MSTL	broad_v1	broad_v1	sf-mstl				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-mfles	sf-mfles	mfles	decomposition	statsforecast	MFLES	broad_v1	broad_v1	sf-mfles				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-tbats	sf-tbats	tbats	decomposition	statsforecast	TBATS	broad_v1	broad_v1	sf-tbats				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-theta	sf-theta	theta	theta	statsforecast	Theta	broad_v1	broad_v1	sf-theta				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-optimizedtheta	sf-optimizedtheta	optimizedtheta	theta	statsforecast	OptimizedTheta	broad_v1	broad_v1	sf-optimizedtheta				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-dynamictheta	sf-dynamictheta	dynamictheta	theta	statsforecast	DynamicTheta	broad_v1	broad_v1	sf-dynamictheta				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-dynamicoptimizedtheta	sf-dynamicoptimizedtheta	dynamicoptimizedtheta	theta	statsforecast	DynamicOptimizedTheta	broad_v1	broad_v1	sf-dynamicoptimizedtheta				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-garch	sf-garch	garch	volatility	statsforecast	GARCH	broad_v1	broad_v1	sf-garch				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-arch	sf-arch	arch	volatility	statsforecast	ARCH	broad_v1	broad_v1	sf-arch				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-sklearnmodel	sf-sklearnmodel	sklearnmodel	wrapper	statsforecast	SklearnModel	broad_v1	broad_v1	sf-sklearnmodel				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-constantmodel	sf-constantmodel	constantmodel	baseline	statsforecast	ConstantModel	broad_v1	broad_v1	sf-constantmodel				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-zeromodel	sf-zeromodel	zeromodel	baseline	statsforecast	ZeroModel	broad_v1	broad_v1	sf-zeromodel				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-nanmodel	sf-nanmodel	nanmodel	baseline	statsforecast	NaNModel	broad_v1	broad_v1	sf-nanmodel				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	sf-ucm	sf-ucm	ucm	decomposition	statsforecast	UCM	broad_v1	broad_v1	sf-ucm				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-rnn	nf-rnn	rnn	rnn	neuralforecast	RNN	broad_v1	broad_v1	nf-rnn				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-gru	nf-gru	gru	rnn	neuralforecast	GRU	broad_v1	broad_v1	nf-gru				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-lstm	nf-lstm	lstm	rnn	neuralforecast	LSTM	broad_v1	broad_v1	nf-lstm				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-tcn	nf-tcn	tcn	cnn	neuralforecast	TCN	broad_v1	broad_v1	nf-tcn				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-deepar	nf-deepar	deepar	deep_probabilistic	neuralforecast	DeepAR	broad_v1	broad_v1	nf-deepar				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""probability""]"	
expanded_v2	nf-dilatedrnn	nf-dilatedrnn	dilatedrnn	rnn	neuralforecast	DilatedRNN	broad_v1	broad_v1	nf-dilatedrnn				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-mlp	nf-mlp	mlp	mlp	neuralforecast	MLP	broad_v1	broad_v1	nf-mlp				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-nhits	nf-nhits	nhits	mlp	neuralforecast	NHITS	broad_v1	broad_v1	nf-nhits				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-nbeats	nf-nbeats	nbeats	mlp	neuralforecast	NBEATS	broad_v1	broad_v1	nf-nbeats				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-nbeatsx	nf-nbeatsx	nbeatsx	mlp	neuralforecast	NBEATSx	broad_v1	broad_v1	nf-nbeatsx				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""exogenous""]"	
expanded_v2	nf-dlinear	nf-dlinear	dlinear	linear	neuralforecast	DLinear	broad_v1	broad_v1	nf-dlinear				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-nlinear	nf-nlinear	nlinear	linear	neuralforecast	NLinear	broad_v1	broad_v1	nf-nlinear				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-tft	nf-tft	tft	transformer	neuralforecast	TFT	broad_v1	broad_v1	nf-tft				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""exogenous"", ""probability""]"	
expanded_v2	nf-vanillatransformer	nf-vanillatransformer	vanillatransformer	transformer	neuralforecast	VanillaTransformer	broad_v1	broad_v1	nf-vanillatransformer				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-informer	nf-informer	informer	transformer	neuralforecast	Informer	broad_v1	broad_v1	nf-informer				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-autoformer	nf-autoformer	autoformer	transformer	neuralforecast	Autoformer	broad_v1	broad_v1	nf-autoformer				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	FFT kernel: forces 32-true precision
expanded_v2	nf-patchtst	nf-patchtst	patchtst	transformer	neuralforecast	PatchTST	broad_v1	broad_v1	nf-patchtst				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-fedformer	nf-fedformer	fedformer	transformer	neuralforecast	FEDformer	broad_v1	broad_v1	nf-fedformer				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	FFT kernel: forces 32-true precision
expanded_v2	nf-stemgnn	nf-stemgnn	stemgnn	graph	neuralforecast	StemGNN	broad_v1	broad_v1	nf-stemgnn				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""multivariate""]"	
expanded_v2	nf-hint	nf-hint	hint	hierarchical	neuralforecast	HINT	broad_v1	broad_v1	nf-hint				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""probability""]"	
expanded_v2	nf-timesnet	nf-timesnet	timesnet	transformer	neuralforecast	TimesNet	broad_v1	broad_v1	nf-timesnet				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	FFT kernel: forces 32-true precision
expanded_v2	nf-timellm	nf-timellm	timellm	transformer	neuralforecast	TimeLLM	broad_v1	broad_v1	nf-timellm				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position""]"	
expanded_v2	nf-tsmixer	nf-tsmixer	tsmixer	mixer	neuralforecast	TSMixer	broad_v1	broad_v1	nf-tsmixer				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""multivariate""]"	
expanded_v2	nf-tsmixerx	nf-tsmixerx	tsmixerx	mixer	neuralforecast	TSMixerx	broad_v1	broad_v1	nf-tsmixerx				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""exogenous"", ""multivariate""]"	
expanded_v2	nf-mlpmultivariate	nf-mlpmultivariate	mlpmultivariate	mlp	neuralforecast	MLPMultivariate	broad_v1	broad_v1	nf-mlpmultivariate				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""multivariate""]"	
expanded_v2	nf-itransformer	nf-itransformer	itransformer	transformer	neuralforecast	iTransformer	broad_v1	broad_v1	nf-itransformer				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""multivariate""]"	
expanded_v2	nf-bitcn	nf-bitcn	bitcn	cnn	neuralforecast	BiTCN	broad_v1	broad_v1	nf-bitcn				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""exogenous""]"	
expanded_v2	nf-tide	nf-tide	tide	mlp	neuralforecast	TiDE	broad_v1	broad_v1	nf-tide				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""exogenous""]"	
expanded_v2	nf-deepnpts	nf-deepnpts	deepnpts	deep_probabilistic	neuralforecast	DeepNPTS	broad_v1	broad_v1	nf-deepnpts				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""probability""]"	
expanded_v2	nf-softs	nf-softs	softs	mixer	neuralforecast	SOFTS	broad_v1	broad_v1	nf-softs				SOURCE_DECLARED					UNKNOWN	NOT_RUN	False	"[""position"", ""multivariate""]"	
