kind,official_name,official_module,catalog_reference_found,status,notes
fixed,Autoformer,neuralforecast.models.autoformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,BiTCN,neuralforecast.models.bitcn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,DLinear,neuralforecast.models.dlinear,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,DeepAR,neuralforecast.models.deepar,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,DeepNPTS,neuralforecast.models.deepnpts,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,DilatedRNN,neuralforecast.models.dilated_rnn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,FEDformer,neuralforecast.models.fedformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,GRU,neuralforecast.models.gru,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,HINT,neuralforecast.models.hint,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,Informer,neuralforecast.models.informer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,KAN,neuralforecast.models.kan,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,LSTM,neuralforecast.models.lstm,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,MLP,neuralforecast.models.mlp,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,MLPMultivariate,neuralforecast.models.mlpmultivariate,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,NBEATS,neuralforecast.models.nbeats,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,NBEATSx,neuralforecast.models.nbeatsx,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,NHITS,neuralforecast.models.nhits,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,NLinear,neuralforecast.models.nlinear,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,PatchTST,neuralforecast.models.patchtst,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,RMoK,neuralforecast.models.rmok,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,RNN,neuralforecast.models.rnn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,SOFTS,neuralforecast.models.softs,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,SOFTSSharp,neuralforecast.models.softssharp,False,MISSING,Static catalog match only; runtime verification required.
fixed,StemGNN,neuralforecast.models.stemgnn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,TCN,neuralforecast.models.tcn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,TFT,neuralforecast.models.tft,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,TSMixer,neuralforecast.models.tsmixer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,TSMixerx,neuralforecast.models.tsmixerx,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,TiDE,neuralforecast.models.tide,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,TimeLLM,neuralforecast.models.timellm,False,MISSING,Static catalog match only; runtime verification required.
fixed,TimeMixer,neuralforecast.models.timemixer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,TimeXer,neuralforecast.models.timexer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,TimesNet,neuralforecast.models.timesnet,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,VanillaTransformer,neuralforecast.models.vanillatransformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,XLinear,neuralforecast.models.xlinear,False,MISSING,Static catalog match only; runtime verification required.
fixed,iTransformer,neuralforecast.models.itransformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
fixed,xLSTM,neuralforecast.models.xlstm,False,MISSING,Static catalog match only; runtime verification required.
auto,AutoAutoformer,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoBiTCN,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoDLinear,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoDeepAR,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoDeepNPTS,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoDilatedRNN,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoFEDformer,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoGRU,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoHINT,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoInformer,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoKAN,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoLSTM,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoMLP,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoMLPMultivariate,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoNBEATS,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoNBEATSx,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoNHITS,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoNLinear,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoPatchTST,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoRMoK,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoRNN,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoSOFTS,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoSOFTSSharp,neuralforecast.auto,False,MISSING,Static catalog match only; runtime verification required.
auto,AutoStemGNN,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoTCN,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoTFT,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoTSMixer,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoTSMixerx,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoTiDE,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoTimeMixer,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoTimeXer,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoTimesNet,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoVanillaTransformer,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoXLinear,neuralforecast.auto,False,MISSING,Static catalog match only; runtime verification required.
auto,Autoformer,neuralforecast.models.autoformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoiTransformer,neuralforecast.auto,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,AutoxLSTM,neuralforecast.auto,False,MISSING,Static catalog match only; runtime verification required.
auto,BaseAuto,neuralforecast.common._base_auto,False,MISSING,Static catalog match only; runtime verification required.
auto,BiTCN,neuralforecast.models.bitcn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,DLinear,neuralforecast.models.dlinear,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,DeepAR,neuralforecast.models.deepar,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,DeepNPTS,neuralforecast.models.deepnpts,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,DilatedRNN,neuralforecast.models.dilated_rnn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,DistributionLoss,neuralforecast.losses.pytorch,False,MISSING,Static catalog match only; runtime verification required.
auto,FEDformer,neuralforecast.models.fedformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,GRU,neuralforecast.models.gru,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,HINT,neuralforecast.models.hint,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,Informer,neuralforecast.models.informer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,KAN,neuralforecast.models.kan,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,LSTM,neuralforecast.models.lstm,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,MAE,neuralforecast.losses.pytorch,False,MISSING,Static catalog match only; runtime verification required.
auto,MLP,neuralforecast.models.mlp,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,MLPMultivariate,neuralforecast.models.mlpmultivariate,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,MQLoss,neuralforecast.losses.pytorch,False,MISSING,Static catalog match only; runtime verification required.
auto,MockTrial,neuralforecast.common._base_auto,False,MISSING,Static catalog match only; runtime verification required.
auto,NBEATS,neuralforecast.models.nbeats,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,NBEATSx,neuralforecast.models.nbeatsx,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,NHITS,neuralforecast.models.nhits,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,NLinear,neuralforecast.models.nlinear,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,OptunaOptions,neuralforecast.common._base_auto,False,MISSING,Static catalog match only; runtime verification required.
auto,PatchTST,neuralforecast.models.patchtst,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,RMoK,neuralforecast.models.rmok,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,RNN,neuralforecast.models.rnn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
