model_id	identity_status	repo_ids	revisions	surfaces	providers	environments	backends	libraries	classes	runtime_statuses	algorithm_ids	implementation_ids
autogluon-adida	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""ADIDAModel""]"	"[""NOT_RUN""]"	"[""adida""]"	"[""autogluon-adida""]"
autogluon-arima	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""ARIMAModel""]"	"[""NOT_RUN""]"	"[""arima""]"	"[""autogluon-arima""]"
autogluon-autoarima	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""AutoARIMAModel""]"	"[""NOT_RUN""]"	"[""autoarima""]"	"[""autogluon-autoarima""]"
autogluon-autoces	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""AutoCESModel""]"	"[""NOT_RUN""]"	"[""autoces""]"	"[""autogluon-autoces""]"
autogluon-autoets	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""AutoETSModel""]"	"[""NOT_RUN""]"	"[""autoets""]"	"[""autogluon-autoets""]"
autogluon-average	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""AverageModel""]"	"[""NOT_RUN""]"	"[""average""]"	"[""autogluon-average""]"
autogluon-chronos	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""ChronosModel""]"	"[""NOT_RUN""]"	"[""chronos""]"	"[""autogluon-chronos""]"
autogluon-chronos2	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""Chronos2Model""]"	"[""NOT_RUN""]"	"[""chronos-2""]"	"[""autogluon-chronos2""]"
autogluon-croston	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""CrostonModel""]"	"[""NOT_RUN""]"	"[""croston""]"	"[""autogluon-croston""]"
autogluon-deepar	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""DeepARModel""]"	"[""NOT_RUN""]"	"[""deepar""]"	"[""autogluon-deepar""]"
autogluon-directtabular	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""DirectTabularModel""]"	"[""NOT_RUN""]"	"[""directtabular""]"	"[""autogluon-directtabular""]"
autogluon-dlinear	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""DLinearModel""]"	"[""NOT_RUN""]"	"[""dlinear""]"	"[""autogluon-dlinear""]"
autogluon-dynamicoptimizedtheta	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""DynamicOptimizedThetaModel""]"	"[""NOT_RUN""]"	"[""dynamicoptimizedtheta""]"	"[""autogluon-dynamicoptimizedtheta""]"
autogluon-ensemble-greedy	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""GreedyEnsemble""]"	"[""NOT_RUN""]"	"[""greedyensemble""]"	"[""autogluon-ensemble-greedy""]"
autogluon-ensemble-linearstacker	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""LinearStackerEnsemble""]"	"[""NOT_RUN""]"	"[""linearstackerensemble""]"	"[""autogluon-ensemble-linearstacker""]"
autogluon-ensemble-median	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""MedianEnsemble""]"	"[""NOT_RUN""]"	"[""medianensemble""]"	"[""autogluon-ensemble-median""]"
autogluon-ensemble-performanceweighted	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""PerformanceWeightedEnsemble""]"	"[""NOT_RUN""]"	"[""performanceweightedensemble""]"	"[""autogluon-ensemble-performanceweighted""]"
autogluon-ensemble-peritemgreedy	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""PerItemGreedyEnsemble""]"	"[""NOT_RUN""]"	"[""peritemgreedyensemble""]"	"[""autogluon-ensemble-peritemgreedy""]"
autogluon-ensemble-perquantiletabular	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""PerQuantileTabularEnsemble""]"	"[""NOT_RUN""]"	"[""perquantiletabularensemble""]"	"[""autogluon-ensemble-perquantiletabular""]"
autogluon-ensemble-simpleaverage	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""SimpleAverageEnsemble""]"	"[""NOT_RUN""]"	"[""simpleaverageensemble""]"	"[""autogluon-ensemble-simpleaverage""]"
autogluon-ensemble-tabular	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""TabularEnsemble""]"	"[""NOT_RUN""]"	"[""tabularensemble""]"	"[""autogluon-ensemble-tabular""]"
autogluon-ets	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""ETSModel""]"	"[""NOT_RUN""]"	"[""ets""]"	"[""autogluon-ets""]"
autogluon-imapa	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""IMAPAModel""]"	"[""NOT_RUN""]"	"[""imapa""]"	"[""autogluon-imapa""]"
autogluon-naive	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""NaiveModel""]"	"[""NOT_RUN""]"	"[""naive""]"	"[""autogluon-naive""]"
autogluon-npts	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""NPTSModel""]"	"[""NOT_RUN""]"	"[""npts""]"	"[""autogluon-npts""]"
autogluon-patchtst	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""PatchTSTModel""]"	"[""NOT_RUN""]"	"[""patchtst""]"	"[""autogluon-patchtst""]"
autogluon-persteptabular	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""PerStepTabularModel""]"	"[""NOT_RUN""]"	"[""persteptabular""]"	"[""autogluon-persteptabular""]"
